Venustiano Carranza,7919,45665.3304,6506,34902.8389,1413,10762.4915
Villa Corzo,9027,197807.5982,7190,130380.5464,1837,67427.0518
Villaflores,10023,140366.6652,8786,111056.8039,1237,29309.8613
Yajalon,2707,12211.9099,2508,10107.9374,199,2103.9725
San Lucas,1285,5723.1635,1059,4399.3412,226,1323.8223
Zinacantan,4191,15556.1397,3948,9681.1811,243,5874.9586
San Juan Cancuc,4399,7355.9729,4091,6852.1868,308,503.7861
Aldama,882,920.6028,819,869.3351,63,51.2677
Benemerito de las Americas,2532,72442.4751,2213,63576.7213,319,8865.7538
Maravilla Tenejapa,2073,24503.3135,1796,22022.6171,277,2480.6964
Marques de Comillas,2122,65213.435,1811,56272.2235,311,8941.2115
Montecristo de Guerrero,1284,13697.2923,1162,11726.1678,122,1971.1245
San Andres Duraznal,937,3507.3986,788,3267.8803,149,239.5183
Santiago el Pinar,536,1299.6108,512,1235.7608,24,63.85
Ahumada,1617,1667578.817,969,1062774.981,648,604803.836
Aldama,2274,740718.0368,1175,568429.893,1099,172288.1438
Allende,1537,154079.0196,1134,60071.2665,403,94007.7531
Aquiles Serdan,267,50038.8098,98,15350.0746,169,34688.7352
Ascension,1872,851216.7889,712,484079.7099,1160,367137.079
Bachiniva,1336,64168.5028,772,24164.7538,564,40003.749
Balleza,3293,258053.2831,2871,188650.7037,422,69402.5794
Batopilas,2706,57739.0041,2425,25399.3415,281,32339.6626
Bocoyna,3676,43974.2974,3280,15389.7898,396,28584.5076
Buenaventura,2182,612523.5752,1525,366012.5333,657,246511.0419
Camargo,2086,1451270.964,1017,867327.4996,1069,583943.4639
Carichi,2819,110165.5256,2011,55526.31,808,54639.2156
Casas Grandes,1203,271016.6736,769,195226.2054,434,75790.4682
Coronado,812,244901.2112,418,57894.7032,394,187006.508
Coyame del Sotol,862,1043799.89,320,704792.9496,542,339006.94
La Cruz,693,81922.3449,314,46044.0191,379,35878.3258
Cuauhtemoc,6724,434529.9693,3422,242485.0452,3302,192044.9241
Cusihuiriachi,2835,127128.4819,1664,77947.8467,1171,49180.6352
Chihuahua,3824,771893.4721,1728,445785.2788,2096,326108.1933
Chinipas,1632,134340.3738,1363,98941.9607,269,35398.4131
Delicias,1074,58762.6207,439,37126.6536,635,21635.9671
Dr. Belisario Dominguez,1390,29749.4921,803,11537.9266,587,18211.5655
Galeana,543,84717.9764,405,52500.1776,138,32217.7988
Santa Isabel,1244,56666.2015,548,37583.945,696,19082.2565
Gomez Farias,1817,74656.8474,785,27571.1514,1032,47085.696
Gran Morelos,1671,27380.9123,824,13997.4104,847,13383.5019
Guachochi,8699,131283.9881,7810,78249.9614,889,53034.0267
Guadalupe,1124,667014.6165,404,275064.5483,720,391950.0682
Guadalupe y Calvo,9332,256141.5994,7843,116424.702,1489,139716.8974
Guazapares,1802,108788.2356,1644,81942.5225,158,26845.7131
Guerrero,7006,240357.1665,4288,132048.6507,2718,108308.5158
Hidalgo del Parral,798,169210.8917,397,85710.035,401,83500.8567
Huejotitan,555,32883.7085,425,19720.5728,130,13163.1357
Ignacio Zaragoza,2384,124528.1305,1355,39525.2259,1029,85002.9046
Janos,2801,678681.2324,1461,395900.0074,1340,282781.225
Jimenez,1763,1143324.831,965,461359.3454,798,681965.4854
Juarez,876,222676.7114,344,142005.6414,532,80671.07
Julimes,1159,426831.2411,448,231353.2201,711,195478.021
Lopez,1049,97761.7755,467,28754.3176,582,69007.4579
Madera,3859,533898.9774,2724,388408.9676,1135,145490.0098
Maguarichi,436,40444.2134,388,17290.1196,48,23154.0938
Manuel Benavides,665,397731.9232,293,246227.8155,372,151504.1077
Matachi,675,70048.6827,355,48261.8304,320,21786.8523
Matamoros,839,85811.4772,613,27715.5342,226,58095.943
Meoqui,2507,61660.4657,2003,46742.7521,504,14917.7136
Morelos,1378,63182.7216,1189,24727.7246,189,38454.997
Moris,1032,119243.0736,768,45975.2138,264,73267.8598
Namiquipa,6673,469434.3743,2872,233481.5644,3801,235952.8099
Nonoava,789,102819.4642,508,70454.8673,281,32364.5969
Nuevo Casas Grandes,696,204556.9554,572,109529.2943,124,95027.6611
Ocampo,1203,46271.6642,899,12185.2088,304,34086.4554
Ojinaga,2865,526488.0877,988,365514.255,1877,160973.8327
Praxedis G. Guerrero,933,14515.89,342,6919.389,591,7596.501
Riva Palacio,2953,185014.7288,1345,93105.4393,1608,91909.2895
Rosales,2087,114323.0828,766,59560.1378,1321,54762.945
Rosario,851,56206.2027,661,35468.4292,190,20737.7735
San Francisco de Borja,683,107194.8444,442,66490.4558,241,40704.3886
San Francisco de Conchos,789,85989.684,402,49656.553,387,36333.131
San Francisco del Oro,399,38941.2426,250,26412.2225,149,12529.0201
Santa Barbara,526,19162.1562,357,13372.9722,169,5789.184
Satevo,1881,339629.1711,1098,225055.2753,783,114573.8958
Saucillo,1995,176623.8974,857,126393.1523,1138,50230.7451
Temosachi,1998,292742.0036,1170,138430.2847,828,154311.7189
El Tule,509,27684.9134,349,13317.9544,160,14366.959
Urique,3389,37560.0649,3255,32387.6287,134,5172.4362
Uruachi,1576,132246.1096,1272,36233.6429,304,96012.4667
Valle de Zaragoza,1428,209052.2152,975,124067.016,453,84985.1992
Distrito Federal,17067,26571.2374,11881,19691.8388,5186,6879.3986
Azcapotzalco,14,2.2595,13,1.5595,1,0.7
Cuajimalpa de Morelos,232,215.1096,182,94.2585,50,120.8511
Gustavo A. Madero,4,0.16,0,0,4,0.16
Iztapalapa,14,1.8875,13,1.3875,1,0.5
La Magdalena Contreras,420,845.9115,373,499.5311,47,346.3804
Milpa Alta,6596,8812.4285,5420,7485.3233,1176,1327.1052
alvaro Obregon,186,158.9631,165,140.7781,21,18.185
Tlahuac,3550,4497.4682,2601,3566.5741,949,930.8941
Tlalpan,1627,8936.4965,1145,5635.0177,482,3301.4788
Xochimilco,4418,3085.903,1966,2258.759,2452,827.144
Durango,104467,4107953.08,67221,2101517.775,37246,2006435.305
Canatlan,5867,165451.6195,3762,61005.2678,2105,104446.3517
Canelas,643,56381.9249,573,11162.1302,70,45219.7947
Coneto de Comonfort,960,29977.8589,659,16489.3834,301,13488.4755
Cuencame,5740,286367.6727,3026,156445.3579,2714,129922.3148
Durango,9820,343331.7332,6754,206769.23,3066,136562.5032
General Simon Bolivar,2208,61134.5028,1274,26189.4133,934,34945.0895
Gomez Palacio,3863,77384.6947,1543,26827.9002,2320,50556.7945
Guadalupe Victoria,3921,90597.2079,2158,64776.9745,1763,25820.2334
Guanacevi,1537,122002.549,1178,94724.9692,359,27277.5798
Hidalgo,1116,293154.6516,843,157867.5432,273,135287.1084
Inde,1598,168594.4908,1220,112939.0341,378,55655.4567
Lerdo,2971,55744.9872,1395,13998.8248,1576,41746.1624
Mapimi,3115,427963.2333,1553,240130.1511,1562,187833.0822
Mezquital,4727,84429.5529,4068,36443.4902,659,47986.0627
Nazas,1807,29879.0716,1178,9577.0992,629,20301.9724
Nombre de Dios,3159,49169.2627,2036,28940.5258,1123,20228.7369
Ocampo,2017,129936.7384,1382,58673.8501,635,71262.8883
El Oro,2668,151557.4519,1669,78084.5106,999,73472.9413
Otaez,842,14960.8214,668,5238.0286,174,9722.7928
Panuco de Coronado,2022,58218.028,1117,21734.0882,905,36483.9398
Peñon Blanco,1598,122627.7475,869,51889.4326,729,70738.3149
Poanas,3421,69598.013,1718,33095.2477,1703,36502.7653
Pueblo Nuevo,3689,23182.1704,3495,19646.3312,194,3535.8392
Rodeo,1889,17629.6829,1276,8601.7135,613,9027.9694
San Bernardo,1213,69578.6198,911,37171.017,302,32407.6028
San Dimas,2790,105425.8309,2523,28795.8332,267,76629.9977
San Juan de Guadalupe,1641,30103.1971,1017,7387.0735,624,22716.1236
San Juan del Rio,2644,68409.4954,1516,28400.6079,1128,40008.8875
San Luis del Cordero,436,29737.7368,372,12194.2507,64,17543.4861
San Pedro del Gallo,467,105464.9029,312,55986.7602,155,49478.1427
Santa Clara,2375,75585.8881,1192,30189.4138,1183,45396.4743
Santiago Papasquiaro,4128,216902.8635,2849,79097.9419,1279,137804.9216
Suchil,1457,86448.4132,780,38262.2209,677,48186.1923
Tamazula,3569,56803.1606,3207,50137.9159,362,6665.2447
Tepehuanes,1434,75164.8532,1250,66113.2513,184,9051.6019
Tlahualilo,3393,127262.1001,616,42311.2255,2777,84950.8746
Topia,1423,28287.7829,1321,15746.4566,102,12541.3263
Vicente Guerrero,1647,22476.0642,665,13272.4127,982,9203.6515
Nuevo Ideal,4652,81026.5041,3276,55200.8968,1376,25825.6073
Guanajuato,211159,2147855.032,152965,1506488.206,58194,641366.8259
Abasolo,6366,46040.0005,4396,32051.7951,1970,13988.2054
Acambaro,7169,54535.0776,5314,40574.2665,1855,13960.8111
San Miguel de Allende,7932,103724.2504,5592,70120.9277,2340,33603.3227
Apaseo el Alto,3675,31510.472,2680,23317.8362,995,8192.6358
Apaseo el Grande,3864,28609.7135,3226,22518.4124,638,6091.3011
Atarjea,1338,5749.8523,1095,4397.0667,243,1352.7856
Celaya,6343,34669.6639,5102,27570.3358,1241,7099.3281
Manuel Doblado,4832,80832.0878,3109,45177.4937,1723,35654.5941
Comonfort,4035,28604.4743,2730,20206.3862,1305,8398.0881
Coroneo,2021,9944.5625,1233,6159.3441,788,3785.2184
Cortazar,2243,21757.6715,1566,15160.3272,677,6597.3443
Cueramaro,2689,18938.1001,1865,14005.1868,824,4932.9133
Doctor Mora,2620,23524.8164,1761,14561.3764,859,8963.44
Dolores Hidalgo Cuna de la Independencia Nal.,8746,143966.0778,6156,97039.1995,2590,46926.8783
Guanajuato,4256,61597.7499,2470,36897.4291,1786,24700.3208
Huanimaro,2189,9767.9169,1856,8221.6096,333,1546.3073
Irapuato,10364,59998.4665,8697,50846.2614,1667,9152.2051
Jaral del Progreso,1889,11249.6049,1617,9690.5453,272,1559.0596
Jerecuaro,8704,68330.3053,5837,41726.9971,2867,26603.3082
Leon,6371,75609.5014,4841,59869.8677,1530,15739.6337
Moroleon,994,9423.6574,539,6237.072,455,3186.5854
Ocampo,2228,89911.7951,1881,74490.7014,347,15421.0937
Penjamo,14938,134428.1891,10623,89567.872,4315,44860.3171
Pueblo Nuevo,1009,4935.5313,859,4428.9652,150,506.5661
Purisima del Rincon,1861,22412.0196,1228,16858.7505,633,5553.2691
Romita,4849,33214.9602,4085,29097.9943,764,4116.9659
Salamanca,6887,49425.3909,5157,36963.5107,1730,12461.8802
Salvatierra,7579,40852.5344,5698,32518.6664,1881,8333.868
San Diego de la Union,3141,62111.2201,2500,37251.0083,641,24860.2118
San Felipe,11113,175476.0629,8787,125828.9354,2326,49647.1275
San Francisco del Rincon,3725,35619.6552,2574,27538.3596,1151,8081.2956
San Jose Iturbide,3995,42782.4007,2418,24831.5569,1577,17950.8438
San Luis de la Paz,5077,163079.1906,3615,112501.4724,1462,50577.7182
Santa Catarina,875,14634.8483,550,11061.4051,325,3573.4432
Santa Cruz de Juventino Rosas,3743,26905.9385,3149,22392.0867,594,4513.8518
Santiago Maravatio,1034,5573.9427,747,4172.7882,287,1401.1545
Silao,6691,43849.0458,4435,29217.2588,2256,14631.787
Tarandacuao,1470,8198.8883,898,5636.0031,572,2562.8852
Tarimoro,2902,23931.1583,1942,16915.0572,960,7016.1011
Tierra Blanca,2584,21836.3561,1754,14799.8157,830,7036.5404
Uriangato,1392,6879.9817,698,3811.1759,694,3068.8058
Valle de Santiago,11406,60793.5256,8113,47141.8377,3293,13651.6879
Victoria,2880,74706.1481,1897,45835.3201,983,28870.828
Villagran,1418,11371.8803,974,8600.549,444,2771.3313
Xichu,2720,31605.3112,2066,13726.9558,654,17878.3554
Yuriria,7002,34935.0341,4635,24950.4232,2367,9984.6109
Guerrero,319351,3395497.194,275899,2029012.35,43452,1366484.845
Acapulco de Juarez,9168,60358.4058,7935,48438.9207,1233,11919.4851
Ahuacuotzingo,4177,49504.9305,3807,25848.1923,370,23656.7382
Ajuchitlan del Progreso,5790,54643.0992,5176,21117.1879,614,33525.9113
Alcozauca de Guerrero,2758,9878.3462,2370,5198.2551,388,4680.0911
